cod_local,periodo,codigo_ine,pct_area_viaria,pnc_jubilacion_per_1000,pnc_invalidez_per_1000,pnc_total_per_1000,densidad_poblacion_hab_km2,tasa_crecimiento_pct,clasificacion,ratio_poblacion_area,autonomia_financiera_pct,residuos_kg_habitante,agua_suministrada_per_1000hab,agua_residual_per_1000hab,carga_dbo5_t_anio,pct_verde_urbano,pct_forestal_osm,pct_parque,area_parque_m2_per_hab,area_verde_m2_per_hab,area_forestal_m2_per_hab,parques_per_1000hab,area_parque_m2_per_1000hab,pct_agua,pct_humedal,pct_ribera
28014002,2020,28014,,3.989446433333412,2.239565019363152,6.229011452696564,706.16,2.3272,Urbano,706.16,63.35,376.4,8837.92653234059,24723.73760542009,1241.248,,,,5.963513179716998,6.667490031405484,125.60076220050108,0.9527506263453192,5963.513179716998,,,
28014002,2021,28014,,0.4094056049760259,2.170856927108768,6.265061097565473,702.53,-0.5152,Urbano,702.53,59.13,391.6,8914.429113609762,26922.081722413364,1234.853,,,,5.994395772000142,6.702018231475899,126.25119710566452,0.9576845316213244,5994.395772000142,,,
28014002,2022,28014,,3.983801695204505,2.028787900335628,6.012589595540133,717.07,2.0697,Urbano,717.07,59.34,406.5,8763.782947891508,28404.514100046912,1260.411,,,,5.87284763609195,6.566121661772627,123.69120636630583,0.9382655986655778,5872.84763609195,,,
28014002,2023,28014,4.68,4.050925419764737,1.9443392439030576,5.995264663667795,734.97,2.4968,Urbano,734.97,61.87,378.6,8550.296660450924,27712.57840311917,1291.881,0.47,8.863,0.421,5.729784709272758,6.406170537379217,120.67808103068316,0.915409391422275,5729.784709272758,0.528,0.0,0.528
28016001,2016,28016,,3.672338748933817,2.3854970684998102,6.057835817433628,3.34,,Rural,3.34,,380.5,5167905.263157894,15792905.263157897,2.08,,,,7.368421052631579,21.05263157894737,214365.26315789475,21.052631578947366,7368.421052631579,,,
28016001,2017,28016,,0.3818856205695121,2.422553288795891,6.241563170797075,3.41,2.1053,Rural,3.41,,402.0,5065809.278350515,15399164.948453609,2.124,,,,7.216494845360825,20.61855670103093,209945.36082474227,20.61855670103093,7216.494845360825,,,
28016001,2018,28016,,3.929414651298654,2.413166518675133,6.342581169973788,3.27,-4.1237,Rural,3.27,,384.6,5288344.086021505,15990451.612903226,2.037,,,,7.526881720430108,21.50537634408602,218975.2688172043,21.505376344086024,7526.881720430108,,,
28016001,2019,28016,,4.057691920964001,2.344450890942364,6.402142811906365,3.13,-4.3011,Rural,3.13,,395.0,5577146.067415731,16226988.764044944,1.949,,,,7.865168539325842,22.471910112359552,228816.85393258423,22.47191011235955,7865.168539325842,,,
28016001,2020,28016,,3.989446433333412,2.239565019363152,6.229011452696564,3.16,1.1236,Rural,3.16,,376.4,5565733.333333334,15569911.11111111,1.971,,,,7.777777777777778,22.22222222222222,226274.44444444444,22.22222222222222,7777.777777777777,,,
28016001,2021,28016,,0.4094056049760259,2.170856927108768,6.265061097565473,3.83,21.1111,Rural,3.83,,391.6,4611458.71559633,13926866.972477064,2.387,,,,6.422018348623853,18.34862385321101,186832.11009174312,18.34862385321101,6422.018348623853,,,
28016001,2022,28016,,3.983801695204505,2.028787900335628,6.012589595540133,3.76,-1.8349,Rural,3.76,,406.5,4713850.46728972,15278177.57009346,2.343,,,,6.542056074766355,18.69158878504673,190324.29906542052,18.69158878504673,6542.056074766356,,,
28016001,2023,28016,0.675,4.050925419764737,1.9443392439030576,5.995264663667795,3.65,-2.8037,Rural,3.65,,378.6,4849826.923076923,15718894.23076923,2.278,0.007,71.515,0.002,6.730769230769231,19.23076923076923,195814.42307692303,19.230769230769237,6730.769230769231,7.56,0.0,7.56
28045002,2016,28045,,3.672338748933817,2.3854970684998102,6.057835817433628,262.63,,Urbano,262.63,64.32,380.5,10223.885880882966,31243.773427738444,1051.638,,,,16.193252811328612,16.865889212827987,875.6080799666805,1.7700957934194084,16193.252811328612,,,
28045002,2017,28045,,0.3818856205695121,2.422553288795891,6.241563170797075,265.88,1.237,Urbano,265.88,63.5,402.0,10107.859875755954,30726.10770559921,1064.647,,,,15.995392273830584,16.659809931295513,864.9092853910396,1.748467519644547,15995.392273830585,,,
28045002,2018,28045,,3.929414651298654,2.413166518675133,6.342581169973788,270.71,1.8184,Urbano,270.71,57.75,384.6,9936.078225382844,30043.88056083074,1084.006,,,,15.709725645480626,16.362277263727826,849.4626045496788,1.7172411006505313,15709.725645480628,,,
28045002,2019,28045,,4.057691920964001,2.344450890942364,6.402142811906365,277.57,2.5334,Urbano,277.57,65.42,395.0,9780.225409836065,28456.06084489281,1111.469,,,,15.32156368221942,15.957991803278688,828.4737547288777,1.674810844892812,15321.56368221942,,,
28045002,2020,28045,,3.989446433333412,2.239565019363152,6.229011452696564,284.06,2.3369,Urbano,284.06,55.57,376.4,9644.49921059725,26980.09164773384,1137.442,,,,14.971697023374023,15.593592360121685,809.5556240132465,1.6365666756517387,14971.697023374025,,,
28045002,2021,28045,,0.4094056049760259,2.170856927108768,6.265061097565473,287.02,1.0436,Urbano,287.02,55.15,391.6,9577.915396341465,28925.84794207317,1149.312,,,,14.817073170731708,15.432545731707316,801.1947408536586,1.6196646341463414,14817.073170731706,,,
28045002,2022,28045,,3.983801695204505,2.028787900335628,6.012589595540133,291.99,1.7321,Urbano,291.99,45.87,406.5,9447.301878664144,30619.884245818423,1169.219,,,,14.56479799209575,15.169791530090468,787.5536159133904,1.5920882578808369,14564.79799209575,,,
28045002,2023,28045,2.013,4.050925419764737,1.9443392439030576,5.995264663667795,301.89,3.3883,Urbano,301.89,56.46,378.6,9137.686148048842,29616.381028298125,1208.836,0.443,22.98,0.425,14.08746693720787,14.67263306641545,761.743179100692,1.5399108663357368,14087.46693720787,0.062,0.0,0.062
28047002,2016,28047,,3.672338748933817,2.3854970684998102,6.057835817433628,2443.85,,Urbano,2443.85,67.29,380.5,7970.37193369807,24357.127782197185,1348.974,,,,15.69394613374028,16.658278812279818,138.66422066009707,1.2662954364660617,15693.94613374028,,,
28047002,2017,28047,,0.3818856205695121,2.422553288795891,6.241563170797075,2465.87,0.901,Urbano,2465.87,67.48,402.0,7906.157484875789,24033.321534303,1361.129,,,,15.553803578324109,16.50952503539709,137.4259879006307,1.2549877719140172,15553.803578324108,,,
28047002,2018,28047,,3.929414651298654,2.413166518675133,6.342581169973788,2502.45,1.4835,Urbano,2502.45,68.76,384.6,7797.444271807718,23577.2584583188,1381.321,,,,15.326441957066304,16.268192916257096,135.41712908646986,1.236642673684878,15326.441957066305,,,
28047002,2019,28047,,4.057691920964001,2.344450890942364,6.402142811906365,2526.45,0.9592,Urbano,2526.45,65.76,395.0,7794.81461706371,22679.407654014667,1394.57,,,,15.180828844674068,16.113632437695316,134.13056109549458,1.2248936069975973,15180.828844674068,,,
28047002,2020,28047,,3.989446433333412,2.239565019363152,6.229011452696564,2554.19,1.0977,Urbano,2554.19,59.79,376.4,7780.856814439716,21766.628351300136,1409.878,,,,15.015999254403678,15.938674702538137,132.67420547391967,1.2115940228028208,15015.999254403678,,,
28047002,2021,28047,,0.4094056049760259,2.170856927108768,6.265061097565473,2532.25,-0.859,Urbano,2532.25,62.58,391.6,7875.424990207599,23784.2303172738,1397.768,,,,15.146102624363492,16.076772424598513,133.8237367802585,1.2220916568742657,15146.102624363491,,,
28047002,2022,28047,,3.983801695204505,2.028787900335628,6.012589595540133,2549.62,0.6863,Urbano,2549.62,57.99,406.5,7848.715435009259,25438.66610646873,1407.36,,,,15.04287070320402,15.96719729860106,132.91162877550067,1.2137621959759115,15042.87070320402,,,
28047002,2023,28047,6.219,4.050925419764737,1.9443392439030576,5.995264663667795,2604.93,2.1692,Urbano,2604.93,60.42,378.6,7682.075026272903,24898.5637479629,1437.888,4.068,33.866,3.833,14.723487213853817,15.628188921211752,130.0897086373121,1.1879921409750676,14723.487213853818,0.147,0.0,0.147
28049003,2016,28049,,3.672338748933817,2.3854970684998102,6.057835817433628,7031.82,,Urbano,7031.82,58.48,380.5,5807.802869885133,17748.40594797298,1851.273,,,,18.99376574828765,20.33761962783765,30.00011829699644,0.7216116782794885,18993.76574828765,,,
28049003,2017,28049,,0.3818856205695121,2.422553288795891,6.241563170797075,6905.21,-1.8005,Urbano,6905.21,62.37,402.0,5919.498620664731,17994.2296804038,1817.941,,,,19.34201491368614,20.710508245895124,30.55016805001747,0.734842370288275,19342.01491368614,,,
